self-test-pi-n08	4	59cab971e8b91c26a605df105e7ecb647866bce69f5fa7c2d94768a0f06f7f43
self-test-pi-n09	4	6076fbb6aab2452781ccaf9fa6d7ed2d0bc43dd308045e1dccd2cf3f5069c57f
self-test-pi-n10-n11	6	833b3eeb6e016a4af24ee46cd8141ff1f2ec9f7824560d28428d67c7fd15c46a
self-test-pi-n12	4	1ae0998d4081315cd07db1914c86cd2b1e0da6ce07ec58bbd76c927b78090813
self-test-pi-n13	4	5064f07fac6cfadc54d8275785b1229bee788e0c26d1ad82a80159475aa33934
self-test-pi-n14	4	ea160248ce4e412a81dacc745d14d28827288a06129fe6107b5e287043f96858
self-test-pi-n15	4	993fed3b69f5e615276a6ae5ff6c9f46f49d9d142b1b1d8a1199091bdc2d0f28
self-test-pi-n16	4	d46c79c1516fc4b7769f26234a4b643bf47458ea6a8c1697b3e41a3900c477fe
self-test-pi-n17	4	7c28c28534dcd10a14e82d383003b0da17f7c21df66eebb67280e1cef7b1ba4c
self-test-pi-n18	4	c0ba5c1cb75c8ec3affea072983c6ad3c1ff542cbb8738e51bc47d07729e9bf5
self-test-pi-n19	4	b3d63fa23b42c3f8721b05f7df1caeddab0447386e8113a1a207f42784a4ee25
self-test-vectors	8	3b2b3a5ce98ee1f9c6d74155561325a6f42cf4a3554fa98fd75c2d3d3c590bef
